Model,AUC_PR,AUC_ROC,F1,Precision,Recall
XGBoost,0.20652876714939986,0.6950950742169848,0.1581920903954802,0.2916666666666667,0.10852713178294573
Random Forest,0.20011621954211528,0.6949386449751452,0.15544041450777202,0.234375,0.11627906976744186
LightGBM,0.18667570105394507,0.6658532346091008,0.1976284584980237,0.20161290322580644,0.1937984496124031
Logistic Regression,0.1575351019307077,0.6460423401814579,0.25459688826025456,0.15570934256055363,0.6976744186046512
